Atomic Service Type;Task;Dataset;Dataset Structure-Attributes;Projection;Selection;Aggregation;Transformation;Additional Info;;;;;;;;;;;;;;;;
Collect;Reading Real-Time Machine Sensor Log;Industrial Equipment Sensor Dataset;machine_id:string,timestamp:datetime,temperature:float,vibration:float,power_consumption:float,production_line:string;Select temperature, vibration, and power consumption measurements;Filter for critical manufacturing production lines with recent timestamp;Calculate average temperature, maximum vibration, and total power consumption;Round temperature to 2 decimal places, convert power consumption to kilowatt-hours;sampling_interval:5 seconds,alert_threshold:{temperature:85};;;;;;;;;;;;;;;;
Dispatch;Applying Predictive Maintenance Algorithm;Equipment Wear and Tear Dataset;machine_id:string,component_name:string,stress_level:float,usage_hours:integer,lifetime_utilization:float;Select machine component stress levels and usage hours;Filter for machines with over 80% lifetime utilization;Calculate average component stress levels and maximum usage hours;Convert component names to uppercase, round stress levels to percentage;failure_prediction_confidence:0.95,maintenance_window:30 days;;;;;;;;;;;;;;;;
Monitor;Comparing Production Line Efficiency Models;Manufacturing Performance Dataset;production_line:string,production_rate:float,quality_metric:float,downtime:float;Select production rates, quality metrics, and downtime;Filter for automated assembly line performance;Calculate average production rates, minimum downtime, and maximum quality metrics;Round production-related metrics to two decimal places;model_comparison_method:statistical_analysis,confidence_level:0.99;;;;;;;;;;;;;;;;
Dispatch;Applying Anomaly Detection;Manufacturing Process Control Dataset;batch_id:string,product_dimension:float,process_parameter:string,variation:float;Select product dimensional accuracy and process parameters;Filter for production batches with variation greater than two standard deviations;Count unique batch identifiers and maximum variation levels;Round product dimensions to three decimal places, convert process parameters to uppercase;detection_sensitivity:0.97,alert_mechanism:real-time;;;;;;;;;;;;;;;;
Collect;Reading Robotic Arm Performance Log;Robotics Operation Dataset;robot_id:string,movement_precision:float,cycle_time:float,energy_consumption:float,manufacturing_cell:string;Select movement precision, cycle times, and energy consumption;Filter for high-precision manufacturing cells;Calculate average movement precision, minimum cycle times, and total energy consumption;Round cycle times to two decimal places, convert energy consumption to kilowatt-hours;sampling_frequency:1 second,performance_threshold:{precision:0.01};;;;;;;;;;;;;;;;
Monitor;Conducting Statistical Process Control;Manufacturing Quality Dataset;batch_id:string,defect_rate:float,process_variability:float,component_specification:string;Select defect rates, process variability, and component specifications;Filter for production stages with high defect rates;Calculate average defect rates and standard deviation of process variability;Round defect rates to percentage, convert component specifications to lowercase;control_chart_type:X-MR,confidence_level:0.99;;;;;;;;;;;;;;;;
Dispatch;Applying Machine Learning Classification;Equipment Fault Diagnosis Dataset;machine_id:string,sensor_reading:float,operational_parameter:string,failure_probability:float;Select sensor readings and operational parameters;Filter for machines showing early failure indications;Calculate average failure probabilities and count of affected machines;Round sensor readings to three decimal places, convert operational parameters to lowercase;classification_confidence:0.92,maintenance_window:14 days;;;;;;;;;;;;;;;;
Collect;Reading Supply Chain Inventory Data;Manufacturing Inventory Dataset;component_id:string,stock_level:float,lead_time:float,supplier_performance:float,inventory_segment:string;Select stock levels, lead times, and supplier performance metrics;Filter for critical component inventories;Calculate minimum stock levels, average lead times, and maximum supplier performance;Round stock levels and lead times to two decimal places;reorder_threshold:50,optimal_stock_window:30 days;;;;;;;;;;;;;;;;
Monitor;Performing Energy Consumption Analysis;Factory Energy Management Dataset;timestamp:datetime,machine_id:string,power_usage:float,machine_efficiency:float,production_shift:string;Select power usage, machine efficiency, and production shift details;Filter for different manufacturing production shifts;Calculate average power usage, maximum machine efficiency, and total power consumption;Round power usage to two decimal places, calculate machine efficiency percentage;energy_saving_target:15%,carbon_emission_factor:0.5;;;;;;;;;;;;;;;;
Dispatch;Applying Computer Vision Quality Control;Product Inspection Dataset;image_id:string,dimensional_accuracy:float,surface_defects:float,color_consistency:float,batch_number:string;Select dimensional accuracy, surface defects, and color consistency;Filter for manufacturing production batches;Calculate average dimensional accuracy and maximum surface defect levels;Round dimensional accuracy and surface defects to percentage, convert batch numbers to uppercase;confidence_threshold:0.95,inspection_speed:500 units/hour;;;;;;;;;;;;;;;;
Collect;Reading CNC Machine Tool Wear Data;Machining Center Performance Dataset;tool_id:string,cutting_edge_condition:float,material_removal_rate:float,tool_life:float,machining_process:string;Select cutting edge condition, material removal rates, and tool life;Filter for high-precision machining processes;Calculate average material removal rates and minimum tool life;Round cutting edge condition and tool life to two decimal places;wear_tracking_interval:daily,critical_wear_threshold:0.3;;;;;;;;;;;;;;;;
Dispatch;Applying Predictive Quality Forecasting;Product Manufacturing Dataset;batch_id:string,dimensional_tolerance:float,process_parameter:string,material_property:float;Select dimensional tolerances, process parameters, and material properties;Filter for production batches with critical quality requirements;Calculate count of unique batches and average dimensional tolerances;Round dimensional tolerances to three decimal places, convert process parameters to uppercase;prediction_confidence:0.96,quality_window:14 days;;;;;;;;;;;;;;;;
Monitor;Comparing Additive Manufacturing Process Models;3D Printing Performance Dataset;print_id:string,layer_adhesion:float,print_resolution:float,material_consumption:float,print_technology:string;Select layer adhesion, print resolution, and material consumption;Filter for advanced manufacturing technologies;Calculate average layer adhesion, minimum material consumption, and maximum print resolution;Round layer adhesion and material consumption to two decimal places;model_comparison_method:statistical_evaluation,confidence_level:0.95;;;;;;;;;;;;;;;;
Dispatch;Applying Reinforcement Learning Optimization;Production Line Scheduling Dataset;schedule_id:string,machine_setup_time:float,production_sequence:string,resource_allocation:float;Select machine setup times, production sequences, and resource allocations;Filter for manufacturing workflow optimization;Calculate average machine setup times and maximum resource allocations;Round machine setup times to two decimal places, convert production sequences to uppercase;optimization_iterations:100,learning_rate:0.01;;;;;;;;;;;;;;;;
Collect;Reading Industrial Robot Collaborative Workspace Data;Human-Robot Interaction Dataset;robot_id:string,movement_trajectory:string,human_proximity:float,safety_zone_status:string;Select movement trajectories, human proximity, and safety zone statuses;Filter for collaborative manufacturing environments;Calculate average human proximity and count of safety zone statuses;Convert movement trajectories to lowercase, round human proximity to two decimal places;monitoring_frequency:0.5 seconds,safety_threshold:0.5;;;;;;;;;;;;;;;;
